"state","date","cases"
"KY",2021-11-24,11619
"KY",2021-12-01,12729
"KY",2021-12-08,16345
"KY",2021-12-15,15375
"KY",2021-12-22,16777
"KY",2021-12-29,27656
"KY",2022-01-05,56181
"KY",2022-01-12,72901
"KY",2022-01-19,95189
"KY",2022-01-26,86857
"KY",2022-02-02,61239
"KY",2022-02-09,42173
"KY",2022-02-16,13241
"KY",2022-02-23,13287
"KY",2022-03-02,7169
"KY",2022-03-09,4264
"KY",2022-03-16,3029
"KY",2022-03-23,1855
"KY",2022-03-30,1409
"KY",2022-04-06,1340
"KY",2022-04-13,1578
"KY",2022-04-20,2091
"KY",2022-04-27,431
"KY",2022-05-04,3936
"KY",2022-05-11,5654
"KY",2022-05-18,7218
"KY",2022-05-25,8669
"KY",2022-06-01,7685
"KY",2022-06-08,10053
"KY",2022-06-15,9102
"KY",2022-06-22,9725
"KY",2022-06-29,12089
"KY",2022-07-06,12653
"KY",2022-07-13,15543
"KY",2022-07-20,17435
"KY",2022-07-27,17464
"KY",2022-08-03,16354
"KY",2022-08-10,15450
"KY",2022-08-17,16380
"KY",2022-08-24,20021
"KY",2022-08-31,18864
"KY",2022-09-07,13175
"KY",2022-09-14,9695
"KY",2022-09-21,6930
"KY",2022-09-28,5120
"KY",2022-10-05,4402
"KY",2022-10-12,4200
"KY",2022-10-19,4194
"KY",2022-10-26,4897
"KY",2022-11-02,5538
"KY",2022-11-09,5270
"KY",2022-11-16,4526
"KY",2022-11-23,5151
"KY",2022-11-30,6009
"KY",2022-12-07,6871
"KY",2022-12-14,7657
"KY",2022-12-21,7816
"KY",2022-12-28,6190
"KY",2023-01-04,6855
"KY",2023-01-11,6674
"KY",2023-01-18,5845
"KY",2023-01-25,6290
"KY",2023-02-01,5948
"KY",2023-02-08,6311
"KY",2023-02-15,5797
"KY",2023-02-22,4736
"KY",2023-03-01,4098
"KY",2023-03-08,3216
"KY",2023-03-15,2993
"KY",2023-03-22,3148
"KY",2023-03-29,3025
"KY",2023-04-05,2217
"KY",2023-04-12,1820
"KY",2023-04-19,1718
"KY",2023-04-26,1423
"KY",2023-05-03,1304
"KY",2023-05-10,1052
"LA",2020-01-22,0
"LA",2020-01-29,0
"LA",2020-02-05,0
"LA",2020-02-12,0
"LA",2020-02-19,0
"LA",2020-02-26,0
"LA",2020-03-04,0
"LA",2020-03-11,5
"LA",2020-03-18,252
"LA",2020-03-25,1539
"LA",2020-04-01,4628
"LA",2020-04-08,10606
"LA",2020-04-15,4919
"LA",2020-04-22,3304
"LA",2020-04-29,2407
"LA",2020-05-06,2738
"LA",2020-05-13,2225
"LA",2020-05-20,2693
"LA",2020-05-27,3170
"LA",2020-06-03,2622
"LA",2020-06-10,2906
"LA",2020-06-17,4235
"LA",2020-06-24,4228
"LA",2020-07-01,7701
"LA",2020-07-08,9973
"LA",2020-07-15,13984
"LA",2020-07-22,15219
"LA",2020-07-29,13419
"LA",2020-08-05,13170
"LA",2020-08-12,8361
"LA",2020-08-19,5596
"LA",2020-08-26,5822
"LA",2020-09-02,5002
"LA",2020-09-09,5151
"LA",2020-09-16,4001
"LA",2020-09-23,4013
"LA",2020-09-30,3566
"LA",2020-10-07,5170
"LA",2020-10-14,3614
"LA",2020-10-21,4912
"LA",2020-10-28,4679
"LA",2020-11-04,4358
"LA",2020-11-11,4523
"LA",2020-11-18,15212
"LA",2020-11-25,15716
"LA",2020-12-02,15697
"LA",2020-12-09,17590
"LA",2020-12-16,16625
"LA",2020-12-23,18379
"LA",2020-12-30,17300
"LA",2021-01-06,22283
"LA",2021-01-13,22328
"LA",2021-01-20,18744
"LA",2021-01-27,17829
"LA",2021-02-03,13826
"LA",2021-02-10,8483
"LA",2021-02-17,6300
"LA",2021-02-24,5907
"LA",2021-03-03,4864
"LA",2021-03-10,3711
"LA",2021-03-17,3478
"LA",2021-03-24,3248
"LA",2021-03-31,2643
"LA",2021-04-07,2771
"LA",2021-04-14,3049
"LA",2021-04-21,3702
"LA",2021-04-28,2955
"LA",2021-05-05,3451
"LA",2021-05-12,3203
"LA",2021-05-19,3051
"LA",2021-05-26,2786
"LA",2021-06-02,2411
"LA",2021-06-09,2421
"LA",2021-06-16,2130
"LA",2021-06-23,2139
"LA",2021-06-30,2529
"LA",2021-07-07,4333
"LA",2021-07-14,7036
"LA",2021-07-21,14041
"LA",2021-07-28,25070
"LA",2021-08-04,30368
"LA",2021-08-11,39621
"LA",2021-08-18,36502
