"jurisdiction_of_occurrence","mmwryear","mmwrweek","weekendingdate","allcause","naturalcause","septicemia_a40_a41","malignant_neoplasms_c00_c97","diabetes_mellitus_e10_e14","alzheimer_disease_g30","influenza_and_pneumonia_j10","chronic_lower_respiratory","other_diseases_of_respiratory","nephritis_nephrotic_syndrome","symptoms_signs_and_abnormal","diseases_of_heart_i00_i09","cerebrovascular_diseases","flag_otherresp","flag_inflpn","flag_nephr","flag_sept","flag_diab","flag_otherunk","flag_alz","flag_clrd","flag_stroke","flag_hd","flag_neopl"
"Delaware","2014","26","2014-06-28T00:00:00.000","133","123",NA,"32",NA,NA,NA,"11",NA,NA,NA,"27",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"Delaware","2014","27","2014-07-05T00:00:00.000","147","127",NA,"33",NA,NA,NA,"10",NA,NA,NA,"29","10","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"Delaware","2014","28","2014-07-12T00:00:00.000","143","132",NA,"41",NA,NA,NA,"10",NA,"0",NA,"30",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"Delaware","2014","29","2014-07-19T00:00:00.000","125","116",NA,"29",NA,NA,NA,"10",NA,NA,"0","23",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"Delaware","2014","30","2014-07-26T00:00:00.000","141","133",NA,"44",NA,NA,"0",NA,NA,NA,NA,"28",NA,"Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"Delaware","2014","31","2014-08-02T00:00:00.000","138","127",NA,"31",NA,NA,NA,NA,NA,NA,NA,"30",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"Delaware","2014","32","2014-08-09T00:00:00.000","155","142",NA,"36","0",NA,NA,NA,"0",NA,NA,"29","10",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA
"Delaware","2014","33","2014-08-16T00:00:00.000","145","129",NA,"35",NA,NA,NA,NA,"0",NA,"0","37",NA,NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"Delaware","2014","34","2014-08-23T00:00:00.000","147","131","0","37",NA,NA,NA,NA,"0",NA,"0","34",NA,NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"Delaware","2014","35","2014-08-30T00:00:00.000","160","144","0","36",NA,NA,NA,NA,NA,NA,NA,"39",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"Delaware","2014","36","2014-09-06T00:00:00.000","140","131",NA,"30",NA,NA,"0",NA,NA,NA,NA,"31","10","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA
"Delaware","2014","37","2014-09-13T00:00:00.000","140","128",NA,"29",NA,NA,"0",NA,NA,NA,NA,"25",NA,"Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"Delaware","2014","38","2014-09-20T00:00:00.000","141","131",NA,"30",NA,NA,NA,NA,NA,NA,NA,"40",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"Delaware","2014","39","2014-09-27T00:00:00.000","162","149",NA,"44",NA,NA,NA,NA,NA,NA,NA,"29","14","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA
"Delaware","2014","40","2014-10-04T00:00:00.000","161","148",NA,"48",NA,NA,NA,NA,NA,NA,NA,"31",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"Delaware","2014","41","2014-10-11T00:00:00.000","166","154",NA,"48",NA,NA,NA,NA,NA,NA,"0","37","10","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA
"Delaware","2014","42","2014-10-18T00:00:00.000","161","145",NA,"42",NA,NA,NA,NA,NA,NA,NA,"40",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"Delaware","2014","43","2014-10-25T00:00:00.000","160","147",NA,"33",NA,NA,NA,"10",NA,NA,NA,"39",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"Delaware","2014","44","2014-11-01T00:00:00.000","160","149",NA,"39",NA,NA,NA,"12",NA,NA,NA,"33","13","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"Delaware","2014","45","2014-11-08T00:00:00.000","152","143",NA,"39","11",NA,NA,NA,NA,"0",NA,"30",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"Delaware","2014","46","2014-11-15T00:00:00.000","169","159",NA,"32",NA,NA,NA,NA,NA,NA,"0","40","10","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA
"Delaware","2014","47","2014-11-22T00:00:00.000","161","151",NA,"44",NA,NA,NA,"15","0",NA,"0","36",NA,NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
